# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
SLC7A2	SLC7A2	NM_001008539.3	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SLC7A2	SLC7A2	NM_001164771.1	protein_coding	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
SLC7A2	SLC7A2	NM_003046.5	protein_coding	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
SPAG16	SPAG16	NM_024532.4	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SPAG16	SPAG16	NR_047659.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SPAG16	SPAG16	NR_047660.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SSC5D	SSC5D	NM_001144950.1	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
SSC5D	SSC5D	NM_001195267.1	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
STPG1	STPG1	NM_001199012.1	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
STPG1	STPG1	NM_001199013.1	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
STPG1	STPG1	NM_001199014.1	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
STPG1	STPG1	NM_178122.4	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
TJP2	TJP2	NM_001170414.2	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TJP2	TJP2	NM_001170415.1	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TJP2	TJP2	NM_001170416.1	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TJP2	TJP2	NM_001170630.1	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TJP2	TJP2	NM_004817.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TJP2	TJP2	NM_201629.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TMEM38A	TMEM38A	NM_024074.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
TRPM3	TRPM3	NM_001007471.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRPM3	TRPM3	NM_020952.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRPM3	TRPM3	NM_024971.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRPM3	TRPM3	NM_206944.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRPM3	TRPM3	NM_206945.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRPM3	TRPM3	NM_206946.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRPM3	TRPM3	NM_206947.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TSC2	TSC2	NM_000548.4	protein_coding	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TSC2	TSC2	NM_001077183.2	protein_coding	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TSC2	TSC2	NM_001114382.2	protein_coding	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TSC2	TSC2	NM_001318827.1	protein_coding	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TSC2	TSC2	NM_001318829.1	protein_coding	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TSC2	TSC2	NM_001318831.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
TSC2	TSC2	NM_001318832.1	protein_coding	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ZNF628	ZNF628	NM_033113.2	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
